Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4),SiH3SiH(5)
14.19873366823536,9.7878048869389932e-18,0.0,0.0,0.0,0.084675979577906901,0.70766201021103936,2.938491337186447e-14,0.20766201021102346,8.2279829490832873e-16
14.270489222166525,9.7878048869389886e-18,0.0,0.0,0.0,0.083919561288697472,0.70804021935564387,2.9703519261733433e-14,0.20804021935562794,8.2385652580703081e-16
14.34224477609769,9.787804886938987e-18,0.0,0.0,0.0,0.083169902195551426,0.70841504890221696,3.0024996073736808e-14,0.20841504890220075,8.2490418571237481e-16
14.414000330028856,9.7878048869389824e-18,0.0,0.0,0.0,0.082426941928096034,0.70878652903594452,3.0349369627330728e-14,0.20878652903592815,8.2594139064534454e-16
14.557511437891186,9.7878048869389762e-18,0.0,0.0,0.0,0.080960878892292282,0.70951956055384613,3.1006911597137368e-14,0.20951956055382956,8.2798489248168867e-16
14.701022545753517,9.7878048869389716e-18,0.0,0.0,0.0,0.079520899725381025,0.71023955013730167,3.1676356649532283e-14,0.21023955013728474,8.2998793064807584e-16
14.844533653615848,9.7878048869389624e-18,0.0,0.0,0.0,0.07810654076281115,0.71094672961858651,3.2357919937864887e-14,0.21094672961856903,8.3195138093285069e-16
15.036617649519108,9.7878048869389562e-18,0.0,0.0,0.0,0.076252779298496193,0.71187361035074381,3.3289512443511506e-14,0.21187361035072588,8.3451891435360461e-16
15.228701645422369,9.7878048869389454e-18,0.0,0.0,0.0,0.074443030721959708,0.71277848463901183,3.4243743863346568e-14,0.2127784846389934,8.3701904707503917e-16
15.42078564132563,9.7878048869389362e-18,0.0,0.0,0.0,0.072676250397552697,0.71366187480121512,3.5221163835364047e-14,0.21366187480119619,8.3945370314080422e-16
15.61286963722889,9.7878048869389285e-18,0.0,0.0,0.0,0.070951418591033308,0.71452429070447454,3.6222335169038527e-14,0.21452429070445514,8.4182474532827793e-16
